OffenderID,AGE,BOOKER2,BOOKER3,BOOKERCD,CIRCDIST,CITIZEN,CITWHERE,CRIMHIST,CRIMLIV,DISTRICT,YearBorn,DRUGMIN,DSPLEA,ENCRYPT1,ENCRYPT2,FIREMIN1,FIREMIN2,GUNMIN1,GUNMIN2,GUNMIN3,IDMIN,IMMIMIN,Education,Race,nDrugs,nDependents,Offense,POOFFICE,PORNMIN,REAS1,REAS2,SAFE,SentenceMonths,SentenceType,SENTTOT0,SENTYR,SEXADJB,SEXCAP,SEXMIN,STATMAX,STATMIN,TERORHI,MinTimeServed,TOTDAYS,CrimHistCat,FinalOffLevel,MaxGuideRange,MinGuideRange,AgeRange
2210536,38,2,3,6,8,2,30,0,-999,7,1976,0,1,0,0,0,0,0,0,0,0,0,1,3,2,2,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,-999,1,12.03,1,12.03,2014,-999,0,0,240,0,0,10.48,1,1,17,30,24,5
2210814,19,2,3,6,8,2,30,0,-999,7,1995,0,1,0,0,0,0,0,0,0,0,0,3,3,1,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,1,1,6.07,1,6.07,2014,-999,0,0,240,0,0,6.07,0,1,15,24,18,1
2210990,71,3,5,10,8,1,211,1,-999,7,1943,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,0,96,1,96,2014,-999,0,0,240,0,0,83.63,0,1,37,262,210,7
2211121,35,2,3,6,8,1,211,0,-999,7,1979,0,1,0,0,0,0,0,0,0,0,0,1,3,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,1,1,0.56,1,0.56,2014,-999,0,0,240,0,0,0.56,0,1,22,51,41,4
2211124,35,3,5,10,8,1,211,1,-999,7,1979,0,8,0,0,0,0,0,0,0,0,0,3,2,-999,0,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,1,2,-999,516,1,516,2014,-999,0,0,9996,0,0,449.5,0,5,43,9996,9996,4
2211258,60,3,5,10,8,1,211,0,-999,7,1954,0,1,0,0,0,0,0,0,0,0,0,1,1,-999,1,Embezzlement,1,0,17,1200,-999,8,2,4,2014,-999,0,0,60,0,0,4,0,1,17,30,24,7
2211298,66,2,3,6,8,3,35,0,-999,7,1948,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,"Drugs-Trafficking,Manufacturing,andImporting",1,0,48,1,0,12.03,1,12.03,2014,-999,0,0,240,0,0,10.48,1,1,15,24,18,7
2211304,32,0,0,0,8,3,49,1,-999,7,1982,0,1,0,0,0,0,0,0,0,0,0,1,3,-999,2,Pornography/Prostitution,1,0,-999,-999,-999,12.03,1,12.03,2014,-999,0,0,120,0,0,10.48,1,3,10,16,10,4
2211652,56,3,5,10,8,1,211,0,-999,7,1958,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,1,Embezzlement,1,0,14,692,-999,-999,4,0,2014,-999,0,0,60,0,0,0,0,1,15,24,18,7
2211674,52,2,3,5,8,1,211,1,-999,7,1962,0,1,0,0,0,0,0,0,0,0,0,6,2,-999,3,Embezzlement,1,0,19,-999,-999,-999,4,0,2014,-999,0,0,360,0,0,0,0,1,20,41,33,7
2211904,28,3,5,10,8,1,211,1,-999,7,1986,0,1,0,0,0,0,0,0,0,0,0,6,1,7,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,1,12,2,0,2014,-999,0,0,240,0,0,0,0,1,27,87,70,3
2212037,33,3,5,10,8,2,30,0,-999,7,1980,120,1,0,0,0,0,0,0,0,0,0,1,3,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,831,858,1,24,1,24,2014,-999,0,0,9996,120,0,20.91,0,1,25,71,57,4
2212050,43,2,3,6,8,2,58,0,-999,7,1971,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,14,48,0,10,1,10,2014,-999,0,0,240,0,0,10,0,1,21,46,37,6
